news,source,label
 ಕೊರೊನಾ ಲಸಿಕೆ ಪಡೆಯಲು ಹಿರಿಯ ನಾಗರಿಕರು ಯಾವುದೇ ವಿವರ ನೀಡುವ ಅಗತ್ಯವಿಲ್ಲ ,oneindia,0
ಅಮ್ಫಾನ್ ಚಂಡಮಾರುತದ ಸಂದರ್ಭದಲ್ಲಿ ಹಳೆಯ ವೀಡಿಯೊಗಳನ್ನು ತಪ್ಪಾಗಿ ಹಂಚಿಕೊಳ್ಳಲಾಗುತ್ತಿದೆ,factly,0
ಚಿರತೆಗೆ ಡಿಕ್ಕಿ ಹೊಡೆದ ಕಾರು : ಸಾವಿನಿಂದ ಸ್ವಲ್ಪದರಲ್ಲೇ ಪಾರು,asianet,1
"ದೇಶದಲ್ಲಿ 19,893 ಕೋವಿಡ್ ಹೊಸ ಪ್ರಕರಣ ಪತ್ತೆ: 53 ಜನರ ಸಾವು                              
                        ",prajavani,1
ನಾಪತ್ತೆಯಾಗಿರುವ ಶ್ರೀಲಂಕಾ ಅಧ್ಯಕ್ಷ ರಾಜಪಕ್ಷ ಗೌಪ್ಯ ಸ್ಥಳದಿಂದ ಮಹತ್ವದ ಘೋಷಣೆ,asianet,1
2019 ರಲ್ಲಿ ಪುಲ್ವಾಮಾದಲ್ಲಿ ನಡೆದ ಭಯೋತ್ಪಾದಕ ದಾಳಿಯ ವೀಡಿಯೋ ಎಂದು ಹಳೆಯ ವೀಡಿಯೊವನ್ನು ಹಂಚಿಕೊಳ್ಳಲಾಗುತ್ತಿದೆ,factly,0
ಯುವಕನೊಬ್ಬ ಗೆಳೆಯರೊಂದಿಗೆ ಹುಟ್ಟು ಹಬ್ಬ ಆಚರಿಸಿಕೊಳ್ಳವ ವೇಳೆ ಸಾವನ್ನಪ್ಪಿದ ಘಟನೆ ನಿಜವಾಗಿ ನಡೆದಿರುವುದ್ದಲ್ಲ,factly,0
"ಈಜು: ಅದ್ವೈತ್‌ಗೆ 7ನೇ ಸ್ಥಾನ                              
                        ",prajavani,1
"ಅಪ್ರಾಪ್ತ ಬಾಲಕನ ಮೇಲೆ ಲೈಂಗಿಕ ದೌರ್ಜನ್ಯ, 20 ವರ್ಷದ ಮಹಿಳೆಯ ಮೇಲೆ ಕೇಸ್",asianet,1
ಭಾರತದಿಂದ ಪರಾರಿಯಾಗಲು ಬಿಜೆಪಿ ಮುಖಂಡರಿಗೆ ಲಂಚ ನೀಡಿದ್ದೇನೆ ಎಂದು ನೀರವ್ ಮೋದಿ ಲಂಡನ್ ನ್ಯಾಯಾಲಯದಲ್ಲಿ ಯಾವುದೇ ಹೇಳಿಕೆ ನೀಡಿಲ್ಲ,factly,0
 ಗ್ರೂಪ್​ ಅಡ್ಮಿನ್​ಗಳಿಗೆ ಮಾತ್ರ ಸಿಗಲಿದೆ ಈ ಫೀಚರ್​​! ಅದೇನು ಗೊತ್ತಾ?,news18,1
"ಕೋವಿಶೀಲ್ಡ್  ಪಡೆದ ಬಳಿಕ ದೇಹದಲ್ಲಿ ವಿದ್ಯುತ್ ಸಂಚಾರ,  ಮಂಗಳೂರಿನ ಯುವಕರಿಂದ Fact Check",asianet,0
"ಬಿಲ್ಲವ ಸಮಾಜದಿಂದ ‌ಪ್ರವೀಣ್‌ ನೆಟ್ಟಾರು ಕುಟುಂಬಕ್ಕೆ ಮನೆ ನಿರ್ಮಿಸುವ ಸಂಕಲ್ಪ                              
                        ",prajavani,1
ನಿಮ್ಮ ವಾಹನಕ್ಕೆ ಇನ್ಶುರೆನ್ಸ್‌ ಮಾಡಿಸುವ ಮುನ್ನ ಎಚ್ಚರ: ಸ್ವಲ್ಪ ಯಾಮಾರಿದ್ರೂ ದಂಡ ಕಟ್ಟಿಟ್ಟ ಬುತ್ತಿ..,asianet,1
"ಡಬಲ್‌ ಆಗಿದ್ದು ರೈತರ ಆದಾಯವಲ್ಲ, ಸಾಲ: ಮೋದಿ ವಿರುದ್ಧ ಸಿದ್ದು ಟೀಕೆ",asianet,1
ಲಂಕಾ ಅಲ್ಲ ಇನ್ನೂ ಒಂದು ಡಜನ್ ದೇಶದಲ್ಲಿ ಆರ್ಥಿಕ ಜ್ವಾಲಾಮುಖಿ ಸ್ಫೋಟ,asianet,1
"ತಿಮ್ಮಪ್ಪನ ಹುಂಡಿಗೆ ದಾಖಲೆಯ ದೇಣಿಗೆ, ಇತಿಹಾಸದಲ್ಲೇ ಗರಿಷ್ಠ ಕಾಣಿಕೆ",asianet,1
World Environment Day: 'ಮಣ್ಣು ಉಳಿಸಿ' ಅಭಿಯಾನದಲ್ಲಿ ಇಂದು ಸದ್ಗುರು-ಮೋದಿ ಭಾಗಿ,asianet,1
" ಓವೈಸಿಗೆ ಅಮಿತ್‌ ಶಾ ಕೃತಜ್ಞತೆ ಸಲ್ಲಿಸಿದ್ರಂತೆ, ಯಾಕಾಗಿ..?",asianet,0
  3 ಮಕ್ಕ​ಳ​ನ್ನು ಅವುಚಿ ಕೂತ ಮಹಿಳೆ ಚಿತ್ರ ದೆಹ​ಲಿ​ಯ​ದ್ದಾ?,asianet,0
"ರಸ್ತೆ ಬದಿಗೆ ನಂದಿ ಪಂಚಾಯಿತಿ ಕಸ                              
                        ",prajavani,1
"‘ಅಮೃತ ಭಾರತಿಗೆ ಸಮುದಾಯದಾರತಿ’                              
                        ",prajavani,1
 ಜಲಾವೃತವಾಗಿರುವ ರಸ್ತೆಗಳಲ್ಲಿ ಕಸ ತೇಲುತ್ತಿರುವ ಈ ವಿಡಿಯೋ ಚೆನ್ನೈನದ್ದಾ?,oneindia,0
"ಕಾವೇರಿ ಟೆಲಿಕಾಂನ ₹40.14 ಕೋಟಿ ಆಸ್ತಿ ಜಪ್ತಿ ಮಾಡಿದ ಇ.ಡಿ                              
                        ",prajavani,1
 ಶಾಲಾ ಕೋಣೆಗಳ‌ ಕೊರತೆ,prajavani,0
" ಕೊರೊನಾಗೆ ಬೇರೆ ಔಷಧಿ ಇಲ್ಲ, ಬಿಸಿ ಹಬೆಯೇ ಚೀನಾದಲ್ಲಿ ಕೋವಿಡ್‌ ಮದ್ದು?",asianet,0
 ಕೊರೋನಾಗೆ ರೆಡಿಯಾಗಿದೆ ಕಷಾಯ; ಕುಡಿದ್ರೆ ವೈರಸ್‌ ಮಂಗಮಾಯ,asianet,0
"ದಕ್ಷಿಣ ಕನ್ನಡದಾದ್ಯಂತ ಶಾಂತಿ ಸಭೆ ನಡೆಸಲು ಆಗ್ರಹ                              
                        ",prajavani,1
"ಇಚ್ಛಾಶಕ್ತಿ ಕೊರತೆ; ಮೇಲೇಳದ ಕೈಗಾರಿಕೋದ್ಯಮ                              
                        ",prajavani,1
ಸೇನಾ ಆಕಾಂಕ್ಷಿಗಳ ಸೋಗಿನಲ್ಲಿ ಹಿಂಸಾಚಾರ: ಹಲವು ಕಾಂಗ್ರೆಸ್ ನಾಯಕರ ಬಂಧನ,asianet,1
"ಮೆಟ್ರೊ ರೈಲು: ಇನ್ನು ಬೆಳಗಿನ ಜಾವ ಮತ್ತು ತಡರಾತ್ರಿ 20 ನಿಮಿಷ ಕಾಯಬೇಕಿಲ್ಲ                              
                        ",prajavani,1
"ವಿಜಯಪುರ: ಇಬ್ಬರು ಹೆಣ್ಮಕ್ಕಳೊಂದಿಗೆ ತಾಯಿ ಆತ್ಮಹತ್ಯೆ, ಕಾರಣ ಕೇಳಿದ್ರೆ ಹೌಹಾರ್ತಿರಿ..",asianet,1
"ಸಿಧು ಮೂಸೆ ವಾಲ ಹತ್ಯೆ ಬಳಿಕ ಕಾರಿನಲ್ಲಿ ಸಂಭ್ರಮ ಆಚರಿಸಿದ್ದ ಹಂತಕರು, ವಿಡಿಯೋ ವೈರಲ್",asianet,1
 ರಾಷ್ಟ್ರಗೀತೆ ಹೇಳಿ ಭಾರತಕ್ಕೆ ಧನ್ಯವಾದ ಹೇಳಿದ ಅಮೆರಿಕಾ,asianet,0
ಪ್ರಧಾನಿ ನರೇಂದ್ರ ಮೋದಿಯವರನ್ನು ಕೇಂದ್ರ ಸಚಿವ ನಿತಿನ್ ಗಡ್ಕರ್ ಟೀಕಿಸಿದ್ದಾರೆ ಎಂದು ಹಳೆಯ ವೀಡಿಯೋವನ್ನು ಹಂಚಿಕೊಳ್ಳಲಾಗಿದೆ,factly,0
 ಹಂಬಲ್ ಪೊಲಿಟಿಷಿಯನ್ ನೋಗ್‌ರಾಜ್ ನಟ ಟಿಕು ತಲ್ಸಾನಿಯಾ ಇಸ್ಲಾಂಗೆ ಮತಾಂತರಗೊಂಡಿದ್ದು ಸುಳ್ಳು‌,asianet,0
"‘ಐಕ್ಯತೆ ಬೆಳೆಸುವುದೇ ಎನ್‌ಎಸ್‌ಎಸ್‌’                              
                        ",prajavani,1
ತಾಲಿಬಾನ್ ವಕ್ತಾರರಿಗೆ ಮುಸ್ಕಾನ್ ಖಾನ್ ಧನ್ಯವಾದ ಹೇಳುತ್ತಿರುವಂತೆ ನಕಲಿ ಅಕೌಂಟ್‍ನಿಂದ ಟ್ವೀಟ್ ಅನ್ನು ಹಂಚಿಕೊಳ್ಳಲಾಗಿದೆ,factly,0
"ರಾಷ್ಟ್ರಪತಿ ಚುನಾವಣೆಗೆ ವಿಪಕ್ಷ ಅಭ್ಯರ್ಥಿ ಯಶವಂತ್ ಸಿನ್ಹ ನಾಮಪತ್ರ, ಟಿಆರ್‌ಎಸ್ ಬೆಂಬಲ",asianet,1
ಅಸೆಂಬ್ಲಿ ಚುನಾವಣೆಗೂ ಮುನ್ನವೇ ಸ್ಮೃತಿ ಇರಾನಿ ಬೆಂಗಾವಲು ವಾಹನಕ್ಕೆ ತಡೆ ಎಂದು 2020ರ ವಿಡಿಯೋವನ್ನು ಹಂಚಿಕೊಳ್ಳಲಾಗುತ್ತಿದೆ,factly,0
 ಸಿಬಿಎಸ್‌ಇ ಪರೀಕ್ಷೆ ವೇಳಾಪಟ್ಟಿ ಬಿಡುಗಡೆ?,oneindia,0
ದಾಲ್ ಸರೋವರದ ಬಳಿ ಅಕ್ರಮವಾಗಿ ನೆಲೆಸಿದ್ದವರನ್ನು ಒಕ್ಕಲೆಬ್ಬಿಸಿದ್ದನ್ನು ರೋಹಿಂಗ್ಯಾಗಳು ಎಂದು ಸುಳ್ಳು ಸಂದೇಶ ಹಂಚಿಕೊಳ್ಳಲಾಗಿದೆ,factly,0
"ಹಾವೇರಿ: ಏಲಕ್ಕಿ ಕಂಪಿನ ನಾಡಿಗೆ ರಜತ ಸಂಭ್ರಮ                              
                        ",prajavani,1
Fact Check| ಶಾಹೀನ್‌ ಬಾಗ್‌ ಪ್ರತಿ​ಭ​ಟನಾ ಸ್ಥಳ​ದಲ್ಲಿ ಅನೈ​ತಿಕ ಚಟು​ವ​ಟಿ​ಕೆ,asianet,0
ಈಗಾಗಲೇ ತುಂಬಾ ಕಷ್ಟ ಅನುಭವಿಸಿದ್ದೇವೆ: ಲಂಕಾ ಜನರ ಅಳಲು,asianet,1
ಮೋದಿ ಮೈತ್ರಿ ಮುರಿದ ಉದ್ದವ್ ಠಾಕ್ರೆಗೆ ಇದೆಂಥಾ ದುಸ್ಥಿತಿ? ,asianet,1
ಪಕ್ಷಾಂತರಿಗಳು 10 ವರ್ಷ ಚುನಾವಣೆಗೆ ನಿಲ್ಲಬಾರದು: ಸಿದ್ದು,asianet,1
ಘಜ್ವಾ-ಇ-ಹಿಂದ್ ತನಿಖೆಯಲ್ಲಿ ತೊಡಗಿರುವ ಅಧಿಕಾರಿಗೆ ಪಾಕ್ ಮಹಿಳೆಯಿಂದ ಹನಿ ಟ್ರ್ಯಾಪ್ ಯತ್ನ‌,asianet,1
ಹಾವೇರಿ: ವಿದ್ಯಾರ್ಥಿನಿ ಮೇಲೆ ಒಂದೂವರೆ ವರ್ಷದಿಂದ ಪ್ರಾಧ್ಯಾಪಕನಿಂದ ರೇಪ್‌  ,asianet,1
"Norovirus ಕೋವಿಡ್ ನಡುವೆ ಭಾರತಕ್ಕೆ ನೊರೋವೈರಸ್ ಆತಂಕ, ಕೇರಳದಲ್ಲಿ 2 ಪ್ರಕರಣ ಪತ್ತೆ",asianet,1
ಉದ್ದವ್ ಠಾಕ್ರೆ ಕಚೇರಿಯಲ್ಲಿ ಮೊದಲಿನಿಂದಲೂ ಶಿವಾಜಿ ಮತ್ತು ಬಾಳ್ ಠಾಕ್ರೆ ಫೋಟೋಗಳು ಇದ್ದವು,factly,0
ಕೊಪ್ಪಳ: ಎಪಿಎಂಸಿಯಲ್ಲಿ ವಿಷ ಸೇವಿಸಿ ರೈತ ಆತ್ಯಹತ್ಯೆ,asianet,1
Fact Check| ಕೊರೋನಾ ನಿಗ್ರಹಕ್ಕೆ ಐಎಂಸಿಆರ್‌ ಸಲಹೆ,asianet,0
" ದ್ರೌಪದಿ ಮುರ್ಮು ಮೋಹನ್ ಭಾಗವತ್‌ರನ್ನು ಭೇಟಿಯಾಗಿಲ್ಲ, ಎಡಿಟೆಡ್ ಚಿತ್ರ ವೈರಲ್  ",asianet,0
ಬರೋಬ್ಬರಿ ಮೊತ್ತಕ್ಕೆ ಹರಾಜಾದ ಗುರುವಾಯೂರು ಶ್ರೀಕೃಷ್ಣನ ಥಾರ್‌ ಗಾಡಿ ,asianet,1
ಶಾಲೆಗಳಲ್ಲಿ ‘ಭಗವದ್ಗೀತೆ’ ಮತ್ತು ‘ರಾಮಾಯಣ’ಬೋಧನೆಯನ್ನು ನಿಷೇಧಿಸುವ ‘ಆರ್ಟಿಕಲ್‌ 30 (ಎ)’ ಸಂವಿಧಾನದಲ್ಲಿ ಇಲ್ಲ,factly,0
2022ರ ಯುಪಿ ಚುನಾವಣೆಯಲ್ಲಿ ಮತಗಟ್ಟೆ ಏಜೆಂಟ್ ಮತದಾನವನ್ನು ತಿರುಚುತ್ತಿರುವ ಇತ್ತೀಚಿನ ದೃಶ್ಯಗಳೆಂದು 2019 ರ ವೀಡಿಯೋವನ್ನು ಹಂಚಿಕೊಳ್ಳಲಾಗಿದೆ,factly,0
"ಕೊರೋನಾ ಬಳಿಕ 'ಮಂಕಿಪಾಕ್ಸ್‌ ವೈರಸ್‌' ಹಾವಳಿ, ಎಮರ್ಜೆನ್ಸಿ ಮೀಟಿಂಗ್ ಕರೆದ ವಿಶ್ವಸಂಸ್ಥೆ",asianet,1
India@75: ಜಗದೀಶ್‌ ಚಂದ್ರ ಬೋಸ್‌: ಬ್ರಿಟಿಷರ ಮುಂದೆ ಭಾರತ ತಲೆಯೆತ್ತಿ ನಿಲ್ಲುವಂತೆ ಮಾಡಿದ ವಿಜ್ಞಾನಿ,asianet,1
ED ವಿಚಾರಣೆ ನಡುವೆ ಅಮ್ಮನ ಭೇಟಿಯಾದ ರಾಹುಲ್ ಗಾಂಧಿ,asianet,1
ನೂಪುರ್ ತಲೆ ಕಡಿದು ತಂದವರಿಗೆ 5 ಲಕ್ಷ ಘೋಷಿಸಿದ ಟಿಎಂಸಿ ಸಂಸದ ವಾಸಿಮ್ ರಝಾ,asianet,1
"ಮಳೆಯಿಂದ ಹಾನಿಯಾದ ರಸ್ತೆ ದುರಸ್ತಿಪಡಿಸಿ                              
                        ",prajavani,1
ಅಳುತ್ತಿರುವ ಮಹಿಳೆ ಯಾಸಿನ್ ಮಲಿಕ್ ಪತ್ನಿ ಅಲ್ಲ,factly,0
Bengaluru crime news; ಹುಟ್ಟುಹಬ್ಬಕ್ಕೆ ಕರೆದು ಬರ್ಬರವಾಗಿ ಯುವಕನ ಹತ್ಯೆ,asianet,1
"ಲಂಕಾ ಮಾಜಿ ಪ್ರಧಾನಿ ಮಹಿಂದಾ ಪರಾರಿ?: ಮನೆಗೆ ಬೆಂಕಿ, ಕುಟುಂಬ ನೌಕಾ ನೆಲೆಗೆ ಶಿಫ್ಟ್‌",asianet,1
Viral News: ಚಲಿಸುತ್ತಿದ್ದ ಆಟೋದಿಂದ ಬಿದ್ದ ಕಂದನ ಪ್ರಾಣ ಉಳಿದಿದ್ದೇ ರೋಚಕ: ವಿಡಿಯೋ ವೈರಲ್‌,asianet,1
 ಜಾಗ್ರತೆ ವಾಟ್ಸಾಪ್‌ ಮೇಲೆ ಸರ್ಕಾರ ನಿಗಾ ಇಡುತ್ತಂತೆ,asianet,0
"ತಾಂತ್ರಿಕ ಸಮಸ್ಯೆ: ಸಿಯುಇಟಿ ಪರೀಕ್ಷಾರ್ಥಿಗಳ ಅಸಮಾಧಾನ                              
                        ",prajavani,1
ಈ ಕೇಕ್ ಕತ್ತರಿಸಿ ಸಂಭ್ರಮಿಸುತ್ತಿರುವ ವಿಡಿಯೋ ಮನಮೋಹನ್‌ಸಿಂಗ್‌ ಜನ್ಮದಿನದ್ದಲ್ಲ; ಕಾಂಗ್ರೆಸ್ ಪಕ್ಷದ ಸಂಸ್ಥಾಪನಾ ದಿನದ ಸಂಭ್ರಮದ್ದು,factly,0
"ಅಮೃತ ಮಹೋತ್ಸವ: ಕಾಂಗ್ರೆಸ್‌ನಿಂದ ಪಾದಯಾತ್ರೆ                              
                        ",prajavani,1
ಇತ್ತೀಚಿನ ಘಟನೆಗಳಿಗೆ ಪ್ರತಿಕ್ರಿಯೆಯಾಗಿ ಫ್ರಾನ್ಸ್‌ನಲ್ಲಿ ಮುಸ್ಲಿಮರ ಮೇಲಿನ ದಾಳಿ ಎಂದು ಹಳೆಯ ವೀಡಿಯೊವನ್ನು ತಪ್ಪಾಗಿ ಹಂಚಿಕೊಳ್ಳಲಾಗಿದೆ,factly,0
ಮೈಸೂರು: ಅಕ್ರಮ ಸಂಬಂಧಕ್ಕೆ ಬಿದ್ವು ಎರಡು ಹೆಣ: ಕೊನೆಯದಾಗಿ ಕಳಿಸಿದ ವಾಟ್ಸಾಪ್ ಮೆಸೇಜ್‌ನಲ್ಲಿ ಏನಿದೆ?,asianet,1
National Herald Case: ಸೋನಿಯಾ ವಿಚಾರಣೆ ಖಂಡಿಸಿ ಬೀದಿಗಿಳಿದ ಕಾಂಗ್ರೆಸ್‌,asianet,1
2015ರಲ್ಲಿ ನಾರ್ವೆಯ ಮುಸ್ಲಿಮರ ಮಾನವ ಸರಪಳಿ ಫೋಟೋವನ್ನು ಸ್ವೀಡನ್‌ ಗೆ ತಪ್ಪಾಗಿ ಬೆಸೆಯಲಾಗಿದೆ,factly,0
 ಏನದು?,prajavani,0
 ದೇವಸ್ಥಾನಗಳಿಗೆ ಮಾತ್ರ ತೆರಿಗೆ?,asianet,0
"ಸಾವಿನಲ್ಲಿ ಒಂದಾದ ಪ್ರೇಮಿಗಳು, ಪ್ರೀಯಕರನ ಸಮಾಧಿ ಪಕ್ಕದಲ್ಲಿ ಯುವತಿಯ ಅಂತ್ಯಕ್ರಿಯೆ",asianet,1
"ಎಲ್ಲಾ ಅಮ್ಮನಿಗಾಗಿ..., ಹೆತ್ತಾಕೆಯ ಶವ ಮನೆಯಲ್ಲಿಟ್ಟು ಅದ್ಧೂರಿಯಾಗಿ ಮದುವೆಯಾದ ಮಗ",asianet,1
"ಮಗುವಿನೊಂದಿಗೆ ತಾಯಿ ಆತ್ಮಹತ್ಯೆಗೆ ಯತ್ನ, ಪೊಲೀಸ್ ಸಿಬ್ಬಂದಿಯ ಸಮಯ ಪ್ರಜ್ಞೆಗೆ ಉಳಿದ ಪ್ರಾಣ",asianet,1
 ಮೊಗದಲ್ಲಿ ನಗು ಉಕ್ಕಿಸುತ್ತಿದೆ ಸಮಾಧಿ ಮೇಲೆ ಬರೆದ ಬರಹ: ಫೋಟೋ ವೈರಲ್,asianet,1
"ಸಂಸದಗೆ ಗಡ್ಕರಿ ತೂಕ ಇಳಿಕೆ ಚಾಲೆಂಜ್: 15 ಕೇಜಿ ತೂಕ ಇಳಿಸಿ 15,000 ಕೋಟಿ ಕೇಳಿದ ಅನಿಲ್‌",asianet,1
"₹4.50 ಕೋಟಿ ವೆಚ್ಚದ ಕಾಮಗಾರಿಗೆ ಚಾಲನೆ                              
                        ",prajavani,1
ಹೊಸ ವಾಲೆಟ್ ಅಪ್ಲಿಕೇಶನ್ ಪ್ರಾರಂಭಿಸಲಿದೆ ಟೆಕ್‌ ದೈತ್ಯ ಗೂಗಲ್: ಏನೆಲ್ಲಾ ಸೌಲಭ್ಯ?,asianet,1
"ಗೂಗಲ್ ನಕ್ಷೆಗಳಂತೆಯೇ, ಪಾಕಿಸ್ತಾನ ಸರ್ಕಾರದ COVID-19 ಟ್ರ್ಯಾಕರ್ ವೆಬ್‌ಸೈಟ್ ಭಾರತದಿಂದ ಪ್ರವೇಶಿಸಿದಾಗ ಮಾತ್ರ ಇಡೀ ಜೆ & ಕೆ ಅನ್ನು ಭಾರತದ ಭಾಗವಾಗಿ ತೋರಿಸಿದೆ",factly,0
ರಾಜ್ಯದಲ್ಲಿ ಮುಂದುವರಿದ ಮಳೆಯಬ್ಬರ- ಹೆಬ್ಬಾಳೆ ಸೇತುವೆ ಮತ್ತೆ ಮುಳುಗಡೆ,publictv,1
 ದೇಶದ ಪ್ರತಿ ನಾಗರಿಕನಿಗೂ ಲಾಕ್‌ಡೌನ್‌ ಪರಿಹಾರ ನಿಧಿಯಾಗಿ 5000 ರೂ?,asianet,0
ಈ ಘಟನೆ ಪ್ರಸ್ತುತ ಕಾಶ್ಮೀರದಲ್ಲಿ ನಡೆದಿರುವುದಲ್ಲ. ಇದು ಒಂದು ಹಳೆಯ ಘಟನೆಯಾಗಿದ್ದು 2017  ರ್ ಇಸವಿಯಲ್ಲಿ ಅರುಣಾಚಲ ಪ್ರದೇಶದ ತವಾಂಗ್ ಎಂಬ ಪ್ರದೇಶದಲ್ಲಿ ನಡೆದಿದ್ದಾಗಿದೆ,factly,0
"ಭಾರಿ ವಾಹನ ನಿರ್ಬಂಧ ಅವಧಿ ವಿಸ್ತರಣೆಗೆ ಚಿಂತನೆ                              
                        ",prajavani,1
ಅಮಿತ್‌ ಷಾ ಪುತ್ರ ಜೈ ಷಾರನ್ನು ಟೀಕಿಸಿ ಕಪಿಲ್‌ ದೇವ್ ಯಾವುದೇ ಪ್ರತಿಕ್ರಿಯೆ ನೀಡಿಲ್ಲ,factly,0
"ರಷ್ಯಾಗೆ ಶಾಕಿಂಗ್ ನ್ಯೂಸ್, NATOಗೆ ಸಿಕ್ಕಿತು ಮತ್ತಷ್ಟು ಬಲ, ವಾರ್ನಿಂಗ್ ಕೊಟ್ಟ ಪುಟಿನ್",asianet,1
ರಮೇಶ್‌ ಜಾರಕಿಹೊಳಿಯಿಂದ 819 ಕೋಟಿ ವಂಚನೆ: ಕಾಂಗ್ರೆಸ್‌ ಆರೋಪ,asianet,1
"Commonwealth Games: ಬಾಕ್ಸರ್ ಅಮಿತ್ ಪಂಘಲ್, ನೀತೂ ಘಂಘಸ್‌ಗೆ ಚಿನ್ನ                              
                        ",prajavani,1
ಪಾಕ್‌ ಗುಪ್ತಚರರಿಂದ ಕರ್ನಾಟಕಕ್ಕೆ ಫೋನ್‌ ಸಂಪರ್ಕ,asianet,1
ಪ್ರಧಾನಿ ಮೋದಿ ಮುಂದೆ ಬಂದು ದ್ವೇಷದ ವಿಷವನ್ನು ತಡೆಯುವ ಅಗತ್ಯವಿದೆ: ನಾಸಿರುದ್ದೀನ್ ಶಾ,asianet,1
ಫೋಟೋ ತೆಗೆಸಿಕೊಳ್ಳಲು ಹೋಗಿ ಜಲಪಾತಕ್ಕೆ ಬಿದ್ದ ಯುವಕ: ರಕ್ಷಣಾ ಪಡೆಯಿಂದ ಶೋಧ ಕಾರ್ಯಾಚರಣೆ,asianet,1
"ಕೇರಳದಲ್ಲಿ 30 ವರ್ಷಗಳಲ್ಲಿ 60ಕ್ಕೂ ಹೆಚ್ಚು ವಿದ್ಯಾರ್ಥಿನಿಯರಿಗೆ ಕಿರುಕುಳ, ಮಾಜಿ ಶಿಕ್ಷಕಿಕನ ಬಂಧನ",asianet,1
 ಭಾರತೀಯ ರೈಲ್ವೆ 10 ಹೊಸ ನಿಯಮ ಜಾರಿ ಮಾಡಿದೆಯೇ? ,oneindia,0
"ತಾಂತ್ರಿಕ ಕಾರಣ: ಸಿಯುಇಟಿ–ಯುಜಿ ಪರೀಕ್ಷೆ ರದ್ದು                              
                        ",prajavani,1
"ಚೆಸ್‌ ಒಲಿಂಪಿಯಾಡ್‌: ಅಮೆರಿಕ ಮಣಿಸಿದ ಭಾರತ ‘ಬಿ’                              
                        ",prajavani,1
 LPG ವಿತರಕರು ಶ್ರೀಮಂತರಾಗುವ ಅವಕಾಶ? ,oneindia,0
" ಸೈನಿಕರ ಮೃತದೇಹದ ಜೊತೆಗೆ ಚಿನ್ನ,  ಫ್ರಿಜ್‌ನಲ್ಲಿ ಹೆಣಗಳ ರಾಶಿ: ಉಕ್ರೇನ್‌ ರಷ್ಯಾ ಯುದ್ಧದ ಕರಾಳ ಸತ್ಯ",asianet,1
ಬೆಂಗಳೂರು: ಅಂಗಡಿ ಮಾಲೀಕನ ಮೇಲೆ ಸಿಟ್ಟಿಗೆ 110 ಲ್ಯಾಪ್‌ಟಾಪ್‌ಗಳನ್ನೇ ಕದ್ದರು..,asianet,1
 ರಾಷ್ಟ್ರಪತಿ ಅಭ್ಯರ್ಥಿ ದ್ರೌಪದಿ ಮುರ್ಮು ಟ್ವಿಟರ್‌ನಲ್ಲಿದ್ದಾರಾ? ,oneindia,0
"ಪ್ರವೀಣ್ ಹತ್ಯೆ ಕುರಿತ ಪ‍್ರಮುಖ ಮಾಹಿತಿ ಲಭ್ಯ: ಆಲೋಕ್ ಕುಮಾರ್                              
                        ",prajavani,1
"ಸಂಯುಕ್ತ ಕಿಸಾನ್‌ ಮೋರ್ಚಾದಿಂದ ದೇಶದೆಲ್ಲೆಡೆ ‘ಅಗ್ನಿಪಥ’ ವಿರೋಧಿ ಅಭಿಯಾನ                              
                        ",prajavani,1
"ಮೆಗ್ಗಾನ್‌ನಲ್ಲಿ ಸಿಗುತ್ತಿಲ್ಲ ಸಮರ್ಪಕ ಚಿಕಿತ್ಸೆ; ಆರೋಪ                              
                        ",prajavani,1
"ಪುನಃ ಸಕ್ರಿಯಗೊಂಡ ಮೃತ ಹಂದಿಯ ಜೀವಕೋಶ, ಅಂಗಾಂಗಗಳು: ಯಶಸ್ವಿ ಪ್ರಯೋಗ                              
                        ",prajavani,1
Fact Check: ಕ್ವಾಡ್ ಶೃಂಗದಲ್ಲಿ ಪ್ರಧಾನಿ ಮೋದಿ ಕಡೆಗಣಿಸಿದ ಜೋ ಬೈಡೆನ್‌? ವೈರಲ್‌ ವಿಡಿಯೋ ಸತ್ಯಾಸತ್ಯತೆ ಏನು?,asianet,1
 ಕೊರೋನಾಗೆ ತತ್ತರಿಸಿದ ಇಟಲಿಯಲ್ಲಿ ರಸ್ತೆ ಬದಿಯಲ್ಲೇ ಐಸಿಯು,asianet,0
 ತೃಪ್ತಿ ದೇಸಾಯಿ ಶಬರಿಮಲೆ ಭೇಟಿ ಹಿಂದೆ ಬಿಜೆಪಿ ಪಾತ್ರ? ,oneindia,0
"ಶಿಂದೆ ಬಣಕ್ಕೆ ಶಿವಸೇನಾ ಚಿಹ್ನೆ ನೀಡುವ ಬಗ್ಗೆ ನಿರ್ಧಾರ ಬೇಡ: ಆಯೋಗಕ್ಕೆ ಸುಪ್ರೀಂ                              
                        ",prajavani,1
"ಪ್ರಧಾನಿ ಮೋದಿಯವರನ್ನು ಹೊಗಳಿದ ಈ ವ್ಯಕ್ತಿ ಪಾಕಿಸ್ತಾನದ ಪತ್ರಕರ್ತನಲ್ಲ, ಬದಲಿಗೆ ಭಾರತದವರು",factly,0
